transaction_id,amount,time_of_day,day_of_week,retry_count,customer_txn_history_count,customer_past_failure_rate,seconds_to_failure,merchant_category,payment_method,failure_category,error_code,card_network,issuing_bank,is_3ds_flow,card_age_months,retry_success,psp_app,time_since_app_switch,daily_limit_utilization
txn_005021,1499.72,23,4,0,3,0.18,66.6,travel,card,soft_decline,96,Mastercard,Axis,False,67.7,True,,,
txn_000683,636.03,3,3,0,8,0.284,9.4,subscriptions,card,hard_decline,54,Mastercard,IDFC First,False,13.0,False,,,
txn_004354,1415.54,11,6,2,56,0.245,77.3,ecommerce,card,soft_decline,91,Visa,SBI,False,60.7,True,,,
txn_001380,552.33,17,1,0,1,0.322,29.6,gaming,upi,customer_dropoff,,,Kotak,,,True,Paytm,10.6,0.679
txn_003101,594.5,8,6,0,11,0.124,45.7,ecommerce,upi,soft_decline,Y1,,HDFC,,,True,Paytm,2.6,0.765
txn_002975,383.17,10,5,0,1,0.085,0.9,gaming,card,fraud_block,05,Visa,Kotak,True,7.1,False,,,
txn_003386,1855.8,1,5,0,4,0.103,3.6,gaming,card,hard_decline,51,Rupay,HDFC,False,54.1,False,,,
txn_004485,483.86,3,2,0,22,0.2,6.3,food_delivery,card,hard_decline,61,Mastercard,HDFC,True,43.0,False,,,
txn_007319,479.86,6,2,0,6,0.341,34.5,subscriptions,card,soft_decline,91,Visa,Axis,False,20.8,False,,,
txn_006290,427.7,16,2,0,17,0.413,40.8,travel,card,soft_decline,05,Mastercard,HDFC,False,107.5,False,,,
txn_004104,170.36,13,6,0,18,0.237,1.6,gaming,card,hard_decline,05,Visa,SBI,False,39.4,False,,,
txn_007958,672.78,15,3,1,1,0.094,28.9,ecommerce,card,soft_decline,05,Visa,IDFC First,False,77.7,True,,,
txn_000811,49.12,15,6,1,55,0.309,6.6,ecommerce,card,hard_decline,51,Mastercard,Kotak,True,21.3,False,,,
txn_003403,2415.17,1,0,0,7,0.143,12.3,travel,card,fraud_block,59,Rupay,HDFC,True,19.7,False,,,
txn_005127,3376.17,6,0,0,2,0.116,2.4,ecommerce,card,hard_decline,51,Visa,Kotak,False,13.1,False,,,
txn_004513,1082.46,0,5,0,3,0.259,29.4,ecommerce,upi,soft_decline,Y1,,SBI,,,True,GPay,2.2,0.792
txn_003684,812.87,18,5,0,37,0.457,2.9,subscriptions,card,hard_decline,05,Mastercard,IDFC First,False,8.5,False,,,
txn_003099,356.32,20,0,0,3,0.088,83.7,ecommerce,upi,soft_decline,Y1,,PNB,,,False,GPay,0.4,0.262
txn_007724,1953.7,23,2,1,20,0.155,43.8,utilities,card,customer_dropoff,,Rupay,ICICI,True,41.6,False,,,
txn_003379,2069.94,14,0,0,13,0.144,90.7,travel,upi,customer_dropoff,,,Kotak,,,False,other,78.2,0.074
txn_005543,677.81,10,1,1,13,0.239,56.8,subscriptions,card,customer_dropoff,91,Visa,IDFC First,True,46.6,False,,,
txn_000793,646.34,17,2,0,3,0.04,3.7,food_delivery,card,hard_decline,54,Visa,Kotak,False,48.6,False,,,
txn_007207,159.7,13,5,0,10,0.127,0.3,utilities,card,hard_decline,05,Mastercard,HDFC,False,11.6,False,,,
txn_003032,7456.56,17,5,1,2,0.053,23.2,utilities,card,fraud_block,61,Mastercard,HDFC,False,8.4,False,,,
txn_006293,548.05,10,3,0,5,0.06,26.4,food_delivery,upi,soft_decline,U30,,Yes Bank,,,False,GPay,6.9,0.704
txn_004469,1060.21,23,0,0,52,0.114,58.9,ecommerce,card,soft_decline,96,Visa,Kotak,False,42.3,False,,,
txn_005644,1759.16,4,1,1,2,0.013,0.3,utilities,card,fraud_block,05,Rupay,ICICI,True,4.1,False,,,
txn_004205,502.98,17,2,1,43,0.186,61.6,travel,upi,customer_dropoff,,,PNB,,,True,PhonePe,78.5,0.18
txn_004028,444.78,11,3,1,16,0.078,7.0,subscriptions,card,hard_decline,05,Rupay,IDFC First,False,23.8,False,,,
txn_002571,332.31,4,1,1,4,0.224,28.1,ecommerce,card,fraud_block,59,Mastercard,Axis,True,21.3,False,,,
txn_005777,222.77,12,0,0,89,0.129,49.0,subscriptions,card,soft_decline,96,Visa,IDFC First,False,57.9,True,,,
txn_006478,255.45,18,4,2,20,0.141,38.7,subscriptions,card,soft_decline,96,Visa,IDFC First,False,47.4,True,,,
txn_007162,670.75,9,5,0,33,0.124,20.8,utilities,upi,soft_decline,U28,,ICICI,,,False,GPay,0.1,0.665
txn_004588,2032.67,7,2,2,1,0.147,7.7,utilities,card,hard_decline,14,Mastercard,ICICI,False,39.4,False,,,
txn_006708,151.0,14,3,0,4,0.116,0.9,food_delivery,upi,hard_decline,ZM,,Axis,,,False,other,12.1,0.564
txn_004293,338.8,9,2,0,60,0.086,58.0,ecommerce,upi,customer_dropoff,U30,,ICICI,,,True,PhonePe,69.9,0.499
txn_007816,487.1,16,5,0,6,0.524,91.5,gaming,upi,customer_dropoff,U30,,Yes Bank,,,True,PhonePe,44.6,0.203
txn_006675,598.93,12,0,0,20,0.159,21.0,travel,card,soft_decline,05,Visa,SBI,False,43.5,True,,,
txn_003848,1375.26,10,5,1,8,0.336,5.6,ecommerce,card,hard_decline,51,Visa,IDFC First,False,33.0,False,,,
txn_003349,396.87,23,0,1,12,0.184,13.5,utilities,upi,customer_dropoff,U30,,HDFC,,,False,PhonePe,38.5,0.12
txn_000666,1253.27,2,3,1,31,0.141,54.3,travel,upi,customer_dropoff,U67,,ICICI,,,False,Paytm,425.0,0.249
txn_004212,599.87,11,4,1,4,0.045,1.7,travel,card,hard_decline,51,Mastercard,HDFC,False,39.7,False,,,
txn_003864,785.47,21,5,0,54,0.182,0.3,food_delivery,upi,hard_decline,ZU,,Axis,,,False,PhonePe,26.6,0.672
txn_007008,556.63,4,1,0,4,0.085,61.2,ecommerce,card,customer_dropoff,,Mastercard,SBI,True,34.3,True,,,
txn_005669,1255.78,14,1,0,22,0.16,0.6,travel,card,hard_decline,51,Rupay,SBI,False,50.8,False,,,
txn_007666,1053.87,14,5,0,6,0.124,65.0,utilities,card,customer_dropoff,91,Mastercard,ICICI,True,64.5,False,,,
txn_004376,1015.08,11,4,0,14,0.109,38.9,gaming,upi,soft_decline,Y1,,Axis,,,True,GPay,8.3,0.301
txn_001805,21626.11,8,0,1,1,0.125,3.8,utilities,card,fraud_block,59,Mastercard,Kotak,False,1.1,False,,,
txn_004237,836.29,4,6,1,3,0.068,12.8,ecommerce,card,hard_decline,05,Visa,IDFC First,False,59.2,True,,,
txn_005515,869.88,4,3,0,31,0.27,13.9,ecommerce,card,hard_decline,51,Visa,IDFC First,True,72.3,False,,,
txn_003923,209.59,3,6,0,1,0.102,24.9,ecommerce,upi,customer_dropoff,U30,,Yes Bank,,,True,PhonePe,152.0,0.516
txn_002234,293.22,0,3,0,5,0.277,61.0,subscriptions,card,soft_decline,96,Visa,IDFC First,False,23.3,True,,,
txn_001867,1017.83,12,0,1,3,0.055,49.9,utilities,upi,soft_decline,BT,,Yes Bank,,,True,GPay,5.6,0.795
txn_006735,513.4,15,0,0,6,0.206,90.3,utilities,upi,customer_dropoff,U30,,Axis,,,True,PhonePe,93.5,0.417
txn_004618,1048.44,9,5,1,16,0.01,0.3,gaming,card,hard_decline,51,Rupay,ICICI,False,20.3,False,,,
txn_007863,879.91,9,4,0,4,0.112,4.8,ecommerce,card,hard_decline,51,Mastercard,IDFC First,False,21.4,False,,,
txn_006571,1917.57,4,5,0,1,0.104,37.6,travel,card,customer_dropoff,05,Mastercard,ICICI,True,15.9,True,,,
txn_005097,521.93,9,5,0,14,0.284,2.5,utilities,upi,hard_decline,Z7,,Kotak,,,False,PhonePe,1.3,0.581
txn_004105,1278.57,1,6,0,7,0.103,53.2,ecommerce,card,soft_decline,96,Mastercard,Axis,False,83.2,True,,,
txn_000133,407.45,17,4,3,1,0.164,20.3,food_delivery,upi,customer_dropoff,U67,,HDFC,,,True,GPay,117.8,0.194
txn_005547,4800.31,14,5,3,6,0.088,46.7,subscriptions,upi,customer_dropoff,,,Yes Bank,,,False,GPay,5.9,0.659
txn_004647,625.75,19,3,0,31,0.193,8.0,travel,card,hard_decline,54,Mastercard,SBI,True,44.9,False,,,
txn_001341,1651.13,13,4,0,41,0.113,10.3,subscriptions,upi,customer_dropoff,ZM,,Yes Bank,,,True,GPay,100.9,0.517
txn_004488,836.46,3,4,0,20,0.037,1.3,subscriptions,card,hard_decline,05,Mastercard,Kotak,False,48.0,False,,,
txn_005337,453.66,18,5,2,5,0.173,26.8,ecommerce,card,customer_dropoff,,Visa,SBI,True,34.7,True,,,
txn_007630,163.68,21,6,0,10,0.334,27.6,food_delivery,card,customer_dropoff,96,Visa,Axis,False,34.8,False,,,
txn_004722,122.73,5,3,0,2,0.363,2.2,subscriptions,card,fraud_block,59,Visa,Axis,True,9.3,False,,,
txn_003646,272.14,14,5,0,18,0.174,21.7,gaming,upi,soft_decline,XY,,Axis,,,False,PhonePe,1.6,0.632
txn_005948,1597.39,17,6,0,1,0.302,52.4,ecommerce,upi,customer_dropoff,,,Kotak,,,True,GPay,279.3,0.19
txn_001394,234.08,1,4,0,9,0.24,35.3,gaming,upi,soft_decline,U30,,Kotak,,,True,Paytm,2.1,0.513
txn_007451,311.13,20,0,4,1,0.09,4.0,subscriptions,upi,fraud_block,Z8,,Yes Bank,,,False,PhonePe,19.7,0.49
txn_000812,661.25,1,6,0,1,0.428,56.3,gaming,upi,soft_decline,U30,,Yes Bank,,,True,GPay,19.5,0.282
txn_007513,176.56,12,3,1,10,0.245,4.6,utilities,card,hard_decline,05,Rupay,Kotak,True,31.8,False,,,
txn_001162,493.16,23,0,0,3,0.071,3.5,gaming,card,hard_decline,05,Visa,HDFC,False,28.9,False,,,
txn_002732,1169.93,15,2,0,6,0.397,25.7,travel,upi,soft_decline,Y1,,HDFC,,,True,PhonePe,11.5,0.153
txn_003791,1236.65,22,0,0,9,0.561,56.4,subscriptions,upi,customer_dropoff,UT,,Yes Bank,,,False,PhonePe,93.5,0.381
txn_004493,58.31,13,2,0,6,0.073,1.9,utilities,card,hard_decline,51,Mastercard,Kotak,True,18.7,False,,,
txn_001449,760.52,6,5,0,12,0.218,46.0,gaming,card,soft_decline,91,Visa,Axis,False,26.6,True,,,
txn_005551,429.65,0,1,0,84,0.163,4.5,subscriptions,card,hard_decline,05,Visa,Axis,True,16.2,True,,,
txn_001991,331.4,0,4,0,7,0.348,30.7,utilities,card,soft_decline,91,Mastercard,SBI,False,5.6,False,,,
txn_000601,1412.49,15,6,1,5,0.156,0.4,subscriptions,card,hard_decline,14,Visa,Kotak,False,52.2,False,,,
txn_001556,200.19,1,6,0,15,0.068,28.6,food_delivery,upi,soft_decline,XY,,HDFC,,,True,GPay,8.6,0.384
txn_007176,1275.05,0,5,0,13,0.115,94.1,gaming,card,customer_dropoff,96,Visa,Kotak,True,27.4,False,,,
txn_002697,4780.34,1,6,1,1,0.254,2.6,gaming,card,fraud_block,59,Visa,ICICI,True,5.2,False,,,
txn_003497,412.26,19,5,0,1,0.032,27.9,ecommerce,upi,soft_decline,U30,,Axis,,,True,GPay,3.7,0.563
txn_005601,708.31,6,4,0,24,0.3,51.4,utilities,upi,customer_dropoff,,,PNB,,,True,PhonePe,259.3,0.446
txn_004823,181.8,3,4,0,21,0.129,39.3,ecommerce,upi,customer_dropoff,,,Axis,,,False,GPay,42.9,0.484
txn_004730,1333.89,11,3,0,13,0.213,60.4,ecommerce,card,customer_dropoff,,Visa,Kotak,False,64.5,True,,,
txn_000985,12750.91,5,4,2,3,0.246,8.0,ecommerce,upi,fraud_block,ZI,,Axis,,,False,Paytm,3.8,0.228
txn_007825,824.62,2,4,1,6,0.182,2.6,utilities,card,fraud_block,59,Rupay,Axis,True,6.6,False,,,
