transaction_id,amount,time_of_day,day_of_week,retry_count,customer_txn_history_count,customer_past_failure_rate,seconds_to_failure,merchant_category,payment_method,failure_category,error_code,card_network,issuing_bank,is_3ds_flow,card_age_months,retry_success,psp_app,time_since_app_switch,daily_limit_utilization
txn_007764,275.99,23,4,0,4,0.428,41.6,utilities,upi,soft_decline,UT,,SBI,,,True,GPay,2.3,0.458
txn_005200,2186.78,0,3,1,7,0.148,0.5,food_delivery,upi,fraud_block,ZU,,SBI,,,False,GPay,22.3,0.543
txn_001805,21626.11,8,0,1,1,0.125,3.8,utilities,card,fraud_block,59,Mastercard,Kotak,False,1.1,False,,,
txn_005950,13309.58,19,5,0,48,0.153,4.0,subscriptions,card,hard_decline,14,Visa,ICICI,True,45.3,False,,,
txn_004708,385.22,0,1,0,10,0.237,40.1,ecommerce,upi,soft_decline,U30,,ICICI,,,False,PhonePe,17.4,0.509
txn_001835,655.68,9,3,1,2,0.039,67.0,subscriptions,card,customer_dropoff,,Rupay,Axis,False,44.3,False,,,
txn_004136,12095.84,17,3,0,4,0.129,3.3,travel,upi,fraud_block,59,,Yes Bank,,,False,PhonePe,10.1,0.68
txn_004202,2446.26,18,3,2,3,0.138,4.2,travel,upi,fraud_block,59,,PNB,,,False,PhonePe,15.7,0.493
txn_005168,643.49,13,4,1,30,0.343,0.9,subscriptions,upi,hard_decline,ZU,,PNB,,,False,PhonePe,7.3,0.866
txn_000642,2196.04,0,4,0,1,0.168,3.5,subscriptions,upi,fraud_block,ZI,,PNB,,,False,PhonePe,20.3,0.637
txn_007738,4347.33,3,1,0,4,0.12,0.3,food_delivery,upi,fraud_block,59,,Axis,,,False,Paytm,17.6,0.544
txn_000743,1643.77,18,3,2,3,0.153,30.9,ecommerce,upi,customer_dropoff,U30,,Kotak,,,False,GPay,660.4,0.631
txn_004488,836.46,3,4,0,20,0.037,1.3,subscriptions,card,hard_decline,05,Mastercard,Kotak,False,48.0,False,,,
txn_005264,155.54,1,4,0,2,0.135,4.7,utilities,card,fraud_block,61,Mastercard,ICICI,True,6.4,False,,,
txn_004372,4444.2,2,4,1,1,0.123,3.6,travel,upi,fraud_block,59,,Axis,,,False,PhonePe,6.5,0.387
txn_007365,1121.07,18,5,1,1,0.206,2.5,gaming,upi,fraud_block,ZI,,SBI,,,False,PhonePe,21.2,0.129
txn_002623,2373.21,2,1,0,2,0.209,2.3,food_delivery,upi,hard_decline,Z9,,HDFC,,,False,PhonePe,15.4,0.912
txn_000996,1051.78,7,4,1,32,0.022,62.2,utilities,card,soft_decline,96,Visa,Kotak,False,26.5,True,,,
txn_006788,1581.97,1,5,0,4,0.312,22.4,ecommerce,card,fraud_block,61,Mastercard,IDFC First,True,10.0,False,,,
txn_007924,10063.11,16,4,1,2,0.338,7.2,food_delivery,upi,fraud_block,59,,ICICI,,,False,Paytm,7.9,0.142
txn_003851,247.9,11,1,1,9,0.068,1.5,travel,card,hard_decline,14,Mastercard,Axis,True,16.8,False,,,
txn_001393,1422.98,5,3,0,3,0.097,1.2,ecommerce,upi,fraud_block,59,,PNB,,,False,PhonePe,13.6,0.204
txn_005218,392.77,15,5,0,22,0.04,44.4,utilities,upi,customer_dropoff,ZM,,PNB,,,True,GPay,0.3,0.308
txn_003934,364.06,5,5,2,8,0.087,50.1,food_delivery,upi,customer_dropoff,,,ICICI,,,False,GPay,146.2,0.158
txn_005622,9337.64,4,6,0,1,0.098,1.9,food_delivery,upi,fraud_block,59,,PNB,,,False,PhonePe,7.9,0.393
txn_006324,345.57,5,1,1,37,0.207,82.6,ecommerce,upi,customer_dropoff,,,Axis,,,False,Paytm,136.9,0.153
txn_003319,3311.91,2,3,0,5,0.152,22.3,gaming,upi,customer_dropoff,U67,,SBI,,,True,PhonePe,24.7,0.073
txn_002434,2372.42,11,4,0,5,0.127,13.6,subscriptions,upi,hard_decline,ZH,,SBI,,,False,GPay,21.8,0.522
txn_007661,798.49,1,1,1,2,0.246,8.6,travel,upi,fraud_block,ZI,,HDFC,,,False,PhonePe,45.4,0.601
txn_002787,2717.58,14,3,0,24,0.473,85.7,ecommerce,upi,customer_dropoff,U30,,HDFC,,,False,PhonePe,131.2,0.443
txn_005137,1752.22,22,1,0,8,0.38,27.3,travel,upi,customer_dropoff,,,SBI,,,False,Paytm,16.7,0.106
txn_005879,387.1,10,3,0,29,0.2,0.7,food_delivery,card,hard_decline,51,Mastercard,Kotak,False,41.5,False,,,
txn_002232,8774.21,0,6,1,2,0.316,0.9,ecommerce,upi,fraud_block,ZI,,Kotak,,,False,GPay,24.4,0.628
txn_002947,3662.78,1,5,1,4,0.353,213.7,subscriptions,upi,customer_dropoff,,,SBI,,,True,other,8.7,0.764
txn_005047,1666.89,1,1,0,8,0.152,34.4,ecommerce,upi,soft_decline,U68,,Kotak,,,True,other,1.0,0.581
txn_005419,3805.91,23,5,0,19,0.137,35.0,utilities,upi,soft_decline,Y1,,PNB,,,True,other,14.5,0.377
txn_003378,288.0,15,4,0,33,0.253,57.0,subscriptions,upi,customer_dropoff,,,HDFC,,,False,Paytm,64.2,0.113
txn_003572,1153.78,15,3,1,26,0.067,56.8,gaming,upi,soft_decline,U30,,SBI,,,False,GPay,3.5,0.093
txn_002764,408.66,23,5,1,17,0.071,3.1,subscriptions,card,hard_decline,51,Rupay,ICICI,False,71.6,False,,,
txn_007451,311.13,20,0,4,1,0.09,4.0,subscriptions,upi,fraud_block,Z8,,Yes Bank,,,False,PhonePe,19.7,0.49
txn_007037,2462.74,9,3,0,7,0.128,0.3,ecommerce,upi,hard_decline,Z7,,Axis,,,False,Paytm,54.2,0.803
